Cycle,A1,A2,A3,A4,A5,A6,,,,,,,,,,,,,,,,
1,-9.482084938,-4.629373673,-11.77727459,-26.2853543,-5.853722656,-10.59438327,,,,,,,,,,,,,,,,
2,-8.235524867,1.419176851,-8.049590215,-9.478556185,5.367280654,-0.928683658,,,,,,,,,,,,,,,,
3,-1.677225021,2.091112132,-1.78542144,-5.302474795,3.967810736,-0.068974974,,,,,,,,,,,,,,,,
4,0.318573517,5.628055317,7.224735587,1.146930736,8.550541709,2.616758583,,,,,,,,,,,,,,,,
5,2.21083343,0.884712307,2.828713633,-3.090433831,5.37711655,1.820310175,,,,,,,,,,,,,,,,
6,-6.637442397,-3.162548748,1.561358269,-6.039556231,5.910619932,0.970700163,,,,,,,,,,,,,,,,
7,-5.94232379,-0.782388784,-0.627063314,-1.03545902,0.871051012,-1.825055396,,,,,,,,,,,,,,,,
8,1.943728081,3.688663559,0.208541067,0.628771139,1.390772989,3.647884283,,,,,,,,,,,,,,,,
9,-3.644805619,-1.107720069,-0.861876239,-2.950448512,-3.977563332,0.45872975,,,,,,,,,,,,,,,,
10,-0.950498301,-1.381844689,0.196402205,-3.441742303,-1.314024254,2.317423057,,,,,,,,,,,,,,,,
11,-1.070469199,-4.626826658,-6.078685969,-2.394804644,-1.938159183,-0.057617543,,,,,,,,,,,,,,,,
12,-4.082635915,3.063980845,-5.191249315,-0.203888145,-5.321574364,4.770838125,,,,,,,,,,,,,,,,
13,-5.635116891,-2.573472144,4.345588997,1.382662192,-1.47503375,11.66457238,,,,,,,,,,,,,,,,
14,-0.167505335,8.679749247,9.019333277,4.203919465,3.776694983,33.08126763,,,,,,,,,,,,,,,,
15,-0.840137161,8.839265901,13.99574844,0.111061724,0.879967592,62.16627552,,,,,,,,,,,,,,,,
16,3.141923774,20.61783223,35.97977926,5.062234212,18.48827762,97.78390779,,,,,,,,,,,,,,,,
17,0.44535375,32.94894077,61.40859208,4.387898503,23.25355959,142.0767656,,,,,,,,,,,,,,,,
18,-0.69933808,58.68312829,90.58802753,0.09858559,45.79565877,181.6990776,,,,,,,,,,,,,,,,
19,-2.211936469,88.46118029,121.4411764,0.448233933,74.13878628,217.5358916,,,,,,,,,,,,,,,,
20,-1.04415375,119.0936698,148.4208196,7.174457713,106.9902667,246.5419147,,,,,,,,,,,,,,,,
