Cycle,A1,A2,A3
1,-0.87889471,-4.304729904,3.247889526
2,3.309989991,3.518249401,4.147956749
3,1.084263431,2.888398256,5.167055745
4,2.670812953,3.783361199,1.400967435
5,1.627838596,0.129848298,1.762647609
6,-3.514844999,0.052657998,-3.502149259
7,1.975695439,-1.983481811,1.841643362
8,2.996424537,1.435773844,-2.529042891
9,-2.659663986,-0.955961337,-2.877462571
10,2.89685505,3.252651819,1.058465567
11,2.839939002,1.084445646,0.657980958
12,-4.841424405,-2.92380799,-2.530069611
13,-2.149796561,-2.291517129,-3.207256525
14,0.132706462,1.917096028,-0.65078567
15,6.464238096,0.393133334,3.561844323
16,13.19441077,-4.863730175,3.091443781
17,24.49041531,1.183833769,5.078545205
18,41.4559101,8.559271449,12.40645171
19,61.90915206,16.44334766,26.98561389
20,85.2144356,27.42498328,48.59291227
21,106.0533134,44.48345089,76.23785458
22,125.582202,65.95836738,107.6466711
23,140.0372697,90.37329061,137.4298219
24,156.3281582,116.1159246,162.5379967
25,169.5474609,139.2558154,183.1903314
26,181.9824438,161.9531608,200.44715
27,191.2147085,179.865981,215.87648
28,202.2608458,198.1208632,229.4173909
29,208.0446724,210.4431364,240.2503609
30,214.4069313,220.0708016,247.6575326
31,219.5204595,227.1919812,254.2668498
32,226.2640041,233.3491343,259.9211645
33,231.0048642,236.5663233,265.0669629
34,234.6069079,239.2317456,268.7892407
35,238.2046429,239.0624029,271.0915752
36,237.7495312,239.3002797,273.3722845
37,237.9293536,238.8502165,272.7083145
38,239.9100359,240.0783337,273.4422122
39,242.149451,241.0917081,271.3496812
40,242.8947793,241.8160696,272.009073
41,243.5215385,241.8568451,272.116417
42,244.4329577,240.9119235,274.1996545
43,245.8002938,237.5830319,275.3757737
44,242.6591917,236.8918401,272.9372402
45,241.3276109,235.9685437,271.1560789
46,240.2543938,237.4288108,268.1878104
47,242.2351201,236.5145384,266.7879348
48,242.2398275,234.2066631,265.2305857
49,241.079053,232.0919507,264.9738351
50,238.8317363,230.6518457,265.9265486
51,236.5581606,232.4412054,265.7004473
