Temperature,A1,A2,A3,A4,A5,A6
65,2218.476798,2594.943414,2715.199299,2377.767578,2812.786478,2877.149786
65.5,2218.580163,2591.583753,2709.952647,2380.285192,2809.527895,2871.200906
66,2218.683529,2588.224092,2704.705995,2382.802806,2806.269313,2865.252026
66.5,2218.786894,2584.864431,2699.459343,2385.32042,2803.01073,2859.303146
67,2218.89026,2581.50477,2694.212692,2387.838034,2799.752147,2853.354266
67.5,2218.993625,2578.145109,2688.96604,2390.355648,2796.493564,2847.405386
68,2219.09699,2574.785448,2683.719388,2392.873262,2793.234982,2841.456506
68.5,2219.221972,2570.856923,2678.419165,2393.970564,2789.64934,2834.226294
69,2219.27335,2566.552519,2672.962881,2393.471528,2786.076352,2826.315312
69.5,2219.071334,2561.921616,2667.136995,2390.221493,2781.968014,2818.205661
70,2218.687952,2556.921629,2661.237627,2384.43774,2777.44168,2810.046164
70.5,2218.401397,2551.372306,2655.490316,2375.927252,2772.773888,2802.0639
71,2218.085419,2545.839388,2649.521756,2365.732338,2766.773335,2794.18852
71.5,2217.660694,2539.978429,2643.574307,2354.485009,2758.637136,2786.205934
72,2217.241254,2533.827878,2637.772051,2344.139536,2748.294367,2778.020466
72.5,2216.897541,2527.459752,2631.785274,2335.87943,2736.498474,2769.617972
73,2216.532775,2521.291983,2625.501989,2329.730441,2722.884105,2760.494256
73.5,2216.297311,2515.136831,2618.868571,2325.334455,2709.460708,2751.226526
74,2216.072786,2508.767823,2611.414492,2322.674038,2697.024805,2741.678664
74.5,2215.778279,2502.078129,2602.793855,2320.672966,2685.571206,2731.350181
75,2215.651908,2495.392189,2593.447777,2318.081979,2674.507896,2720.190578
75.5,2215.214193,2488.290923,2583.368371,2315.421058,2664.137649,2708.650934
76,2214.31902,2481.08771,2572.933131,2312.761099,2653.624504,2696.549902
76.5,2213.290763,2474.3245,2562.886481,2309.913409,2642.785485,2684.607153
77,2212.631942,2468.469167,2554.166762,2306.968365,2632.24294,2673.829919
77.5,2211.763237,2463.338128,2546.097855,2304.41015,2622.403249,2664.027319
78,2210.933833,2458.657578,2538.390164,2301.893878,2613.254877,2655.002259
78.5,2210.635745,2454.115182,2530.991533,2299.382208,2604.615832,2646.833516
79,2210.364799,2449.34769,2522.873732,2296.858798,2595.899029,2638.202179
79.5,2209.563795,2443.308561,2512.126074,2294.395656,2586.328601,2627.872417
80,2208.734692,2433.89742,2496.898552,2292.02751,2574.205695,2614.22337
80.5,2208.091984,2418.428043,2473.534629,2289.578179,2555.985163,2592.614017
81,2207.001647,2395.448337,2441.24982,2287.050329,2527.165515,2558.407714
81.5,2206.061858,2365.244422,2400.809169,2284.611073,2488.475453,2513.042856
82,2205.124896,2328.793567,2354.322142,2281.983914,2439.926253,2457.680224
82.5,2204.257548,2290.151002,2306.856185,2279.020042,2384.535672,2396.821295
83,2203.516424,2256.034906,2266.919762,2276.177794,2330.011772,2340.124042
83.5,2203.029896,2229.568228,2236.261259,2273.547486,2285.526536,2296.836677
84,2202.491498,2211.319422,2215.611422,2270.857458,2251.802358,2266.688636
84.5,2202.22653,2200.985538,2204.370294,2268.363613,2230.074051,2249.539808
85,2202.020426,2196.848641,2199.846033,2266.355523,2219.174493,2242.655636
85.5,2201.439722,2195.098038,2197.870909,2264.106906,2214.693133,2241.142104
86,2200.680272,2193.976602,2196.896026,2261.498398,2212.259491,2239.930786
86.5,2199.91549,2193.063831,2196.194415,2259.019641,2211.105595,2239.018516
87,2198.82432,2192.347549,2195.625188,2256.451568,2210.128795,2237.789306
87.5,2197.332192,2191.640084,2195.239766,2253.351124,2209.084597,2236.310439
88,2195.81786,2190.89467,2194.245678,2250.459191,2208.290908,2234.953277
88.5,2194.353392,2190.333067,2193.462699,2247.579302,2207.504398,2234.005342
89,2192.579783,2189.651968,2192.526178,2244.698786,2206.427146,2232.755587
89.5,2191.155385,2188.882916,2191.599449,2241.844341,2205.320826,2231.691631
90,2190.395345,2187.781557,2190.240554,2239.350669,2204.080294,2231.013598
90.5,2190.170408,2187.057108,2189.237629,2237.170395,2202.956659,2230.317922
91,2190.228806,2186.647509,2188.135049,2235.362314,2201.882613,2229.544101
91.5,2190.597887,2186.204474,2187.104101,2233.077935,2200.924883,2228.984239
92,2190.855691,2185.970633,2185.812684,2230.964538,2200.072843,2228.665082
92.5,2190.407521,2185.770505,2184.715808,2228.742071,2199.447329,2228.219873
93,2189.481835,2185.109689,2183.408807,2226.067924,2198.579662,2227.533533
93.5,2188.164442,2184.010804,2181.922201,2223.385882,2197.398406,2226.905359
94,2187.367723,2183.239375,2180.834981,2221.513782,2196.281955,2226.47455
94.5,2186.18807,2182.052175,2179.674134,2219.269063,2194.991562,2225.696631
95,2187.117318,2181.825072,2179.539668,2218.566475,2193.787871,2225.631249
