Temperature,A1,A2,A3
65,2605.966108,2789.10075,2602.10502
65.5,2601.65034,2778.824959,2598.373407
66,2597.334572,2768.549167,2594.641793
66.5,2593.018804,2758.273376,2590.910179
67,2588.703036,2747.997584,2587.178565
67.5,2584.387267,2737.721793,2583.446951
68,2580.071499,2727.446001,2579.715337
68.5,2576.115984,2716.312817,2575.864442
69,2572.119531,2704.551498,2571.907457
69.5,2567.894917,2691.83187,2567.797573
70,2563.339151,2678.115588,2563.51633
70.5,2558.406993,2664.169804,2559.331893
71,2553.189928,2650.018703,2555.146974
71.5,2547.786822,2635.58919,2550.872693
72,2541.922182,2620.486987,2546.933873
72.5,2535.949856,2605.046021,2543.20855
73,2530.324098,2588.373543,2539.008499
73.5,2524.141098,2570.571012,2534.363164
74,2517.628995,2552.333995,2529.187368
74.5,2511.052247,2534.858037,2522.776598
75,2504.3835,2518.964774,2515.407429
75.5,2496.674846,2505.754007,2507.843212
76,2489.039818,2495.22623,2499.690191
76.5,2481.247663,2486.130221,2491.933566
77,2473.42403,2477.110564,2485.193194
77.5,2465.889012,2466.45352,2479.034763
78,2459.558337,2451.978629,2473.189105
78.5,2453.477827,2431.89927,2467.718264
79,2447.503417,2407.478722,2460.940545
79.5,2441.225618,2379.727493,2451.715281
80,2432.683303,2350.49172,2437.61433
80.5,2419.007795,2323.501475,2415.036843
81,2398.785937,2302.500256,2384.096543
81.5,2372.282237,2286.909669,2346.126646
82,2340.222162,2276.693264,2303.521003
82.5,2305.813589,2271.257415,2262.186375
83,2274.258889,2268.540327,2229.31717
83.5,2249.608745,2266.350596,2205.834573
84,2232.25036,2264.737606,2191.736673
84.5,2221.923352,2263.318138,2185.396501
85,2217.170563,2261.876129,2183.580349
85.5,2215.340189,2260.367417,2182.943166
86,2214.29397,2258.737851,2182.627594
86.5,2213.566155,2256.924854,2181.829086
87,2213.026392,2255.167566,2181.178155
87.5,2212.389838,2253.43381,2180.531891
88,2211.514106,2251.50921,2179.626452
88.5,2210.238391,2249.679129,2178.543845
89,2208.881089,2248.136838,2177.740108
89.5,2207.465298,2246.643669,2176.912014
90,2205.782899,2244.886031,2176.081617
90.5,2204.469511,2243.186529,2175.195776
91,2203.68175,2241.819245,2174.433067
91.5,2202.899394,2240.293494,2173.744037
92,2202.077708,2238.495744,2172.757766
92.5,2201.836054,2237.009053,2172.12402
93,2201.485676,2235.690454,2171.705676
93.5,2201.014911,2233.923406,2171.36947
94,2201.116914,2231.789271,2170.596925
94.5,2201.180998,2229.98103,2170.270189
95,2202.361905,2226.812311,2168.575456
